filename,filename_lc,canonical,target,action
Adam_dynamics.png,adam_dynamics.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed789\plots\Adam_dynamics.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed456\plots\Adam_dynamics.png,already_synced
Adam_dynamics.png,adam_dynamics.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed789\plots\Adam_dynamics.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed42\plots\Adam_dynamics.png,already_synced
Adam_dynamics.png,adam_dynamics.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed789\plots\Adam_dynamics.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed2021\plots\Adam_dynamics.png,already_synced
Adam_dynamics.png,adam_dynamics.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed789\plots\Adam_dynamics.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed1819\plots\Adam_dynamics.png,already_synced
Adam_dynamics.png,adam_dynamics.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed789\plots\Adam_dynamics.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed1617\plots\Adam_dynamics.png,already_synced
Adam_dynamics.png,adam_dynamics.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed789\plots\Adam_dynamics.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed1415\plots\Adam_dynamics.png,already_synced
Adam_dynamics.png,adam_dynamics.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed789\plots\Adam_dynamics.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed123\plots\Adam_dynamics.png,already_synced
Adam_dynamics.png,adam_dynamics.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed789\plots\Adam_dynamics.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed1213\plots\Adam_dynamics.png,already_synced
Adam_dynamics.png,adam_dynamics.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed789\plots\Adam_dynamics.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed1011\plots\Adam_dynamics.png,already_synced
Adam_oscillations.png,adam_oscillations.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed789\plots\Adam_oscillations.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed456\plots\Adam_oscillations.png,already_synced
Adam_oscillations.png,adam_oscillations.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed789\plots\Adam_oscillations.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed42\plots\Adam_oscillations.png,already_synced
Adam_oscillations.png,adam_oscillations.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed789\plots\Adam_oscillations.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed2021\plots\Adam_oscillations.png,already_synced
Adam_oscillations.png,adam_oscillations.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed789\plots\Adam_oscillations.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed1819\plots\Adam_oscillations.png,already_synced
Adam_oscillations.png,adam_oscillations.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed789\plots\Adam_oscillations.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed1617\plots\Adam_oscillations.png,already_synced
Adam_oscillations.png,adam_oscillations.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed789\plots\Adam_oscillations.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed1415\plots\Adam_oscillations.png,already_synced
Adam_oscillations.png,adam_oscillations.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed789\plots\Adam_oscillations.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed123\plots\Adam_oscillations.png,already_synced
Adam_oscillations.png,adam_oscillations.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed789\plots\Adam_oscillations.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed1213\plots\Adam_oscillations.png,already_synced
Adam_oscillations.png,adam_oscillations.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed789\plots\Adam_oscillations.png,results_proposal_full_20260223_v2\experiments\dynamics_overhead\dynamics_seed1011\plots\Adam_oscillations.png,already_synced
